Key,Source,Context,Changes,English,French,German,Klingon,Spanish
leatherTanning,items,Book,KgNone,Leather Tanning,Leather Tanning,Leder gerben,,Curtido de cuero
macDyverBook,items,Book,KgNone,MacDyvers Book,MacDyvers Book,Buch „MacDyver“,,El libro de MacDyver
macDyverBookDesc,items,Book,KgNone,どんな問題もクラフトで解決する漢、マクダイバーの活躍を知れば、くず鉄から優秀な防具が作れるようになります。,Learn MacDyver's secret to making scrap metal armor and more by reading this gem by the king of made-up stuff.,"Finde mit diesem einzigartigen Buch von MacDyver, dem Großmeister der Improvisation, heraus, wie, unter anderem, Rüstung aus Altmetall gefertigt wird.",,Lee esta joya y conoce los secretos de MacDyver para fabricar armaduras con chatarra de metal y mucho más de mano del rey de inventarse cosas.
minibikesForDumbshits,items,Book,KgNone,Minibikes For Dumbshits,Minibikes For Dumbshits,Taschenmotorrad für Vollidioten,,Minimotos para estúpidos
minibikesForDumbshitsDesc,items,Book,KgNone,たとえ女子高生でもこの説明書を読めば、タフでマッドな（ミニ）バイク（minibike）を作ることが出来ます。\n必要な素材が揃うまでは口でバイク音を奏でましょう。ぶぉん！ぶぉん！らいど・おん！,Even total dumbshits can build a minibike if they follow the steps in this simple guide...Varoom...varoom!,"Selbst komplette Vollidioten können ein Taschenmotorrad bauen, wenn sie dieser einfachen Anleitung folgen … Brumm, brumm!",,"Hasta el más idiota puede construir una minimoto si sigue los pasos de esta sencilla guía. ¡Brum, brum!"
pistolBook,items,Book,KgNone,Pistol Book,Pistol Book,Buch „Pistolen“,,Libro de la pistola
pistolBookDesc,items,Book,KgNone,この本を読めば、自分でピストル（pistol）を分解・組み立て・修理することが出来るようになります。,"Read the pistol book to learn how to assemble, repair and augment 9mm pistols. ","In diesem Buch über Pistolen erfährst du, wie 9 mm Pistolen zusammengesetzt, repariert und verbessert werden. ",,"Lee el libro de la Pistola para aprender a armar, reparar y mejorar revólveres de 9 mm. "
pumpShotgunSchematic,items,Book,KgNone,Shotgun Schematic,Shotgun Schematic,Bauplan – Schrotflinte,,Esquema de escopeta
reloadingWeeklyBook,items,Book,KgNone,Reloading Weekly Book,Reloading Weekly Book,Buch „Wöchentlich nachladen“,,Libro “Recarga semanal”
rocketLauncherSchematic,items,Book,KgNone,Rocket Launcher Schematic,Rocket Launcher Schematic,Bauplan – Raketenwerfer,,Esquema de lanzacohetes
rocketLauncherSchematicDesc,items,Book,KgNone,この本を読めば、自分でロケットランチャー（roket Launcher）を分解・組み立て・修理することが出来るようになります。,Learn how to assemble and repair rocket launchers and craft rocket ammo by reading this schematic.,"In diesem Bauplan erfährst du, wie Raketenwerfer zusammengesetzt und repariert werden und wie Raketenwerfermunition hergestellt wird.",,Lee este esquema para aprender a armar y reparar lanzacohetes y a fabricar cohetes.
scrapArmorSchematicDesc,items,Book,KgNone,マクガイバーの秘密のレシピを学びましょう、DIYの帝王が紡いだ傑作を読んでくず鉄の鎧を作りましょう,Learn MacDyver's secret to making scrap metal armor by reading this gem by the king of made-up stuff.,"Finde mit diesem einzigartigen Buch von MacDyver, dem Großmeister der Improvisation, heraus, wie Rüstung aus Altmetall gefertigt wird.",,Lee esta joya y conoce los secretos de MacDyver para fabricar armaduras con chatarra de metal y mucho más de mano del rey de inventarse cosas.
setInConcrete,items,Book,KgNone,Set In Concrete,Set In Concrete,Einbetonieren,,Grabado en hormigón
setInConcreteDesc,items,Book,KgNone,この本を読めばコンクリート（Concrete）をクラフト出来るようになります。,Learn to craft concrete if you meet the skill requirement or improve your base skill if you do not.,"Wenn du die erforderliche Fertigkeitsstufe besitzt, kannst du lernen, Beton zu fertigen. Ansonsten musst du deine Fertigkeit verbessern.",,Aprendes a crear hormigón si adquieres la habilidad necesaria o mejoras tu habilidad de base si no.
shotgunShellSchematic,items,Book,KgNone,Shotgun Shell Schematic,Shotgun Shell Schematic,Bauplan – Flintenmunition,,Esquema de cartuchos de escopeta
shotgunShellSchematicDesc,items,Book,KgNone,この設計図を読めば、ショットガン弾薬（shotgun shell）のクラフトを出来るようになります。,Learn to craft this ammunition type if you meet the skill requirement or improve your base skill if you do not.,"Wenn du die erforderliche Fertigkeit besitzt, kannst du lernen, diese Munition zu fertigen. Ansonsten musst du deine Fertigkeit verbessern.",,Aprendes a crear este tipo de munición si adquieres la habilidad necesaria o mejoras tu habilidad de base si no.
shotgunSlugSchematic,items,Book,KgNone,Shotgun Slug Schematic,Shotgun Slug Schematic,Bauplan – Flintenlaufgeschoss,,Esquema de perdigón de escopeta
shotgunSlugSchematicDesc,items,Book,KgNone,この設計図を読めば、スラグ弾（shotgun Slug）のクラフトを出来るようになります。,Be the life of the party and learn how to create your very own shotgun slugs by reading this schematic.,"Sei der Star jeder Party und lerne mit diesem Bauplan, wie Flintenlaufgeschosse gefertigt werden.",,Sé el alma de la fiesta y aprende a crear tus propios perdigones de escopeta leyendo este esquema.
sledgehammerSchematic,items,Book,KgNone,Sledgehammer Schematic,Sledgehammer Schematic,Bauplan – Vorschlaghammer,,Esquema de mazo
sledgehammerSchematicDesc,items,Book,KgNone,この設計図を読めば、スレッジハンマーのクラフトを出来るようになります。,Learn how to craft a sledgehammer by reading this schematic.,"In diesem Bauplan erfährst du, wie Vorschlaghämmer gefertigt werden.",,Lee este esquema para aprender a fabricar un mazo.
smgSchematics,items,Book,KgNone,SMG Schematic,SMG Schematic,Bauplan – Maschinenpistole,,Esquema de metralleta
smgSchematicsDesc,items,Book,KgNone,この設計図を読めば、自分でマシンガン（smg）を分解・組み立て・修理することが出来るようになります。,"Learn how to assemble, repair and augment Submachine Guns by reading this schematic.","In diesem Bauplan erfährst du, wie Maschinenpistolen zusammengesetzt, repariert und verbessert werden.",,"Lee el esquema para aprender a armar, reparar y mejorar metralletas."
sniperRifleSchematic,,,,PSG-1 Rifle Schematic,PSG-1 Rifle Schematic,,,
sniperRifleSchematicDesc,items,Book,KgNone,この設計図を読めば、自分でスナイパーライフル（Sniper Rifle）を分解・組み立て・修理することが出来るようになります。,"Learn how to assemble, repair and augment precision rifles by reading this schematic.","In diesem Bauplan erfährst du, wie Scharfschützengewehre zusammengesetzt, repariert und verbessert werden.",,"Lee el esquema para aprender a armar, reparar y mejorar rifle de precisión."
theEnforcerMagazine,items,Book,KgNone,Enforcer Magazine,Enforcer Magazine,Vollstrecker-Magazin,,Revista del sicario
theEnforcerMagazineDesc,items,Book,KgNone,今月はイーストウッド特集！\nこの本で.44マグナム（magnum）の整備を学べます。ロマン溢れるリロードと頭を吹き飛ばす快感に酔いしれましょう。,Do you feel lucky? You should. Now you can repair and assemble .44 Magnums which will blow a man's head off.,"Na, bist du ein Glückskind? Jetzt auf jeden Fall schon. Hiermit kannst du den .44-Magnum-Revolver, mit dem du den Kopf eines Mannes sprengen kannst, reparieren und zusammensetzen.",,"¿Te sientes con suerte hoy? Deberías. Ahora puedes reparar y armar una Magnum 44, capaz de volarle los sesos a cualquiera de un tiro."
theRiddleOfSteel,items,Book,KgNone,The Riddle of Steel,The Riddle of Steel,Rätsel des Stahls,,El acertijo del acero
theRiddleOfSteelDesc,items,Book,KgNone,鋼の謎を解き明かせ。この世には信じられるものは一人も居ない。男も女も動物も。頼れるのは「鋼」だけだ。\nフォージで鋼をクラフト出来るようになります。,Learn to craft steel if you meet the skill requirement or improve your base skill if you do not.,"Wenn du die erforderliche Fertigkeitsstufe besitzt, kannst du lernen, Stahl zu fertigen. Ansonsten musst du deine Fertigkeit verbessern.",,Aprendes a crear este tipo de acero si adquieres la habilidad necesaria o mejoras tu habilidad de base si no.
wrenchSchematic,items,Book,KgNone,Wrench Schematic,Wrench Schematic,Bauplan – Schraubenschlüssel,,Esquema de llave inglesa
wrenchSchematicDesc,items,Book,KgNone,この設計図を読めば、車やエアコン室外機などを効率よく分解できる便利ツール、レンチ（wrench）のクラフトが出来るようになります。,Learn how to craft a wrench which is great for disassembling mechanical devices by reading this schematic.,"In diesem Bauplan erfährst du, wie Schraubenschlüssel gefertigt werden. Schraubenschlüssel eignen sich gut dazu, mechanische Geräte auseinanderzunehmen.",,"Lee este esquema para aprender a fabricar una llave inglesa, ideal para desarmar dispositivos mecánicos."
animalHideBoots,items,Clothes,KgNone,Animal Hide Boots,Animal Hide Boots,Tierhautstiefel,,Botas de piel de animal
animalHideChestArmor,items,Clothes,KgNone,Animal Hide Chest Armor,Animal Hide Chest Armor,Brustpanzer aus Tierhaut,,Coraza de piel de animal
animalHideClothesGroupDesc,items,Clothes,KgNone,動物の皮（animal hide）で作った衣服は、優れた耐天候性能、防御力を発揮します。,Animal hide clothing provides sound protection against cold weather and does a fair job against other damage types.,Kleidung aus Tierhaut bietet guten Schutz gegen Kälte und schlägt sich gegen andere Schadensarten nicht schlecht.,,La ropa de piel de animal proporciona gran protección frente al frío y hace un buen trabajo frente a otros tipos de daños.
animalHideGloves,items,Clothes,KgNone,Animal Hide Gloves,Animal Hide Gloves,Tierhauthandschuhe,,Guantes de piel de animal
animalHideHood,items,Clothes,KgNone,Animal Hide Hood,Animal Hide Hood,Tierhautkapuze,,Capucha de piel de animal
animalHideJacket,items,Clothes,KgNone,Animal Hide Jacket,Animal Hide Jacket,Tierhautjacke,,Chaqueta de piel de animal
animalHideLegArmor,items,Clothes,EnChanged,Animal Hide Leg Armor,Animal Hide Pants,Hosen aus Tierhaut,,Greba de piel de animal
animalHidePants,items,Clothes,KgNone,Animal Hide Leg Armor,Animal Hide Leg Armor,Beinschienen aus Tierhaut,,Greba de piel de animal
armyPants,items,Clothes,KgNone,BDU Bottoms,BDU Bottoms,Kampfanzug (Hose),,Parte inferior de un uniforme de combate
armyShirt,,,,Army Shirt,Army Shirt,,,
aviatorGoggles,items,Clothes,KgNone,Aviator Goggles,Aviator Goggles,Fliegerbrille,,Gafas de aviador
aviatorGogglesDesc,items,Clothes,KgNone,飛行士のゴーグルは、COOLな見た目と防御力をもたらします。,Aviator goggles provide a little face protection and make you look really cool.,Fliegerbrillen bieten ein wenig Schutz für das Gesicht und lassen dich richtig cool aussehen.,,Las gafas de aviador proporcionan algo de protección facial y también te hacen ver muy cool.
ballCapDesc,items,Clothes,KgNone,野球帽は少しの防御力と、涼しさをもたらします。\n信念を捧げれば、野球はまた蘇る。,A baseball cap provides limited warmth and defense against other damage types.,Die Baseballmütze schützt nur leicht vor Kälte und andere Schadensarten.,,La gorra de béisbol proporciona un poco de calor y protección contra otros tipos de daño.
bandana,items,Clothes,KgNone,Bandana,Bandana,Halstuch,,Bandana
bandanaBlack,items,Clothes,KgNone,Black Bandana,Black Bandana,Schwarzes Halstuch,,Bandana negra
bandanaBlue,items,Clothes,KgNone,Blue Bandana,Blue Bandana,Blaues Halstuch,,Bandana azul
bandanaBrown,items,Clothes,KgNone,Brown Bandana,Brown Bandana,Braunes Halstuch,,Bandana marrón
bandanaGreen,items,Clothes,KgNone,Green Bandana,Green Bandana,Grünes Halstuch,,Bandana verde
bandanaRed,items,Clothes,KgNone,Red Bandana,Red Bandana,Rotes Halstuch,,Bandana roja
blackCowboyHat,items,Clothes,KgNone,Black Cowboy Hat,Black Cowboy Hat,Schwarzer Cowboyhut,,Sombrero negro de vaquero
blackDenimPants,items,Clothes,KgNone,Black Denim Pants,Black Denim Pants,Schwarze Denim-Hose,,Pantalones de mezclilla negros
brownDenimPants,items,Clothes,KgNone,Brown Denim Pants,Brown Denim Pants,Braune Denim-Hose,,Pantalones de mezclilla marrones
cigar,items,Clothes,KgNone,Cigar,Cigar,Zigarre,,Puro
cigarDesc,items,Clothes,KgNone,ストレスと[66ff00]疲れ[-]を少し抑えます。,Reduces your stress and [66ff00]fatigue[ffffff] a little.,"Dir gefällt es doch, wenn ein Plan funktioniert, nicht?",,"Te encanta que un plan salga bien, ¿verdad?"
cigarette,items,Clothes,KgNone,Cigarette,Cigarette,Zigarette,,Cigarrillo
clothBoots,items,Clothes,KgNone,Cloth Boots,Cloth Boots,Stoffstiefel,,Botas de tela
clothClothesGroupDesc,items,Clothes,KgNone,布（cloth）の衣服は、いくらかの防御力と保温力を持ちます。,Cloth provides some protection against the weather and a little protection against other damage types.,Stoff schützt etwas vor der Witterung und bietet etwas Schutz vor anderen Schadensarten.,,La ropa de tela protege un poco contra el clima y contra otros tipos de daños.
clothGloves,items,Clothes,KgNone,Cloth Gloves,Cloth Gloves,Stoffhandschuhe,,Guantes de tela
clothHat,items,Clothes,KgNone,Cloth Head Armor,Cloth Head Armor,Stoffkopfschutz,,Armadura de tela para la cabeza
clothJacket,items,Clothes,KgNone,Cloth Chest Armor,Cloth Chest Armor,Stoffbrustpanzer,,Coraza de tela
clothPants,items,Clothes,KgNone,Cloth Leg Armor,Cloth Leg Armor,Stoffbeinschienen,,Espinillera de tela
cowboyHat,items,Clothes,KgNone,Cowboy Hat,Cowboy Hat,Cowboyhut,,Sombrero de vaquero
cowboyHatGroupDesc,items,Clothes,KgNone,スマートなテンガロンハット（cowboy hat）をかぶると、涼しい影を作ってくれます。,Look cool and keep your cool in hotter environments when you wear this stylish ten gallon hat.,Dieser stilsichere und breitrandige Cowboyhut sieht gut aus und schützt vor der Hitze.,,Mantente fresco y luce cool con tu sombrero de vaquero.
denimClothesGroupDesc,items,Clothes,KgNone,デニム（denim）生地は、古くなってより魅力が増すスペシャルな生地です。,Be really comfortable & get a little protection against the weather and other damage types in this fine denim apparel.,Denim-Kleidung sitzt perfekt und schützt etwas vor der Witterung und anderen Schadensarten.,,Siéntete completamente cómodo al tiempo que te proteges un poco del clima y otros tipos de daño con este conjunto de mezclilla.
denimJacket,items,Clothes,KgNone,Denim Jacket,Denim Jacket,Denim-Jacke,,Chaqueta de mezclilla
denimPants,items,Clothes,KgNone,Blue Denim Pants,Blue Denim Pants,Blaue Denim-Hose,,Pantalones de mezclilla azules
footballHelmet,items,Clothes,KgNone,Football Helmet,Football Helmet,Footballhelm,,Casco de fútbol americano
footballHelmetDesc,items,Clothes,KgNone,ゾンビとの戦いにおいても、アメフトヘルメットは高い防御力をほこります。うまく加工すればライト付きヘルメット(Mining Helmet)にできるでしょう。,Get great concussive & puncture defense & you can cheer for your favorite team as if organized football still existed.,Bietet großartigen Schlag- und Stichschutz. Außerdem kannst du dein Lieblingsteam anfeuern als ob organisierte Football-Spiele noch existieren würden.,,"Ofrece una gran defensa frente a contusiones y perforaciones. Además, podrás apoyar a tu equipo favorito como si el fútbol americano todavía existiera."
gasMask,items,Clothes,KgNone,Gasmask,Gasmask,Gasmaske,,Máscara de gas
gasMaskDesc,items,Clothes,KgNone,ｶﾞｽﾏｽｸ（Gasmask）は、耐放射能ボーナスと少しの防御力を得ます。,A gas mask provides a little face protection.,Die Gasmaske schützt das Gesicht leicht.,,La máscara de gas proporciona algo de protección facial.
goggles,items,Clothes,KgNone,Goggles,Goggles,Schutzbrille,,Gafas de buceo
gogglesDesc,items,Clothes,KgNone,少しの防御力を得ます。特に視界は悪くならないので装備をオススメします。,Goggles provide a little face protection.,Die Schutzbrille schützt das Gesicht leicht.,,Las gafas de buceo proporcionan algo de protección facial.
hazmatBoots,items,Clothes,KgNone,Hazmat Boots,Hazmat Boots,Schutzanzugstiefel,,Botas de material peligroso
hazmatClothesGroupDesc,items,Clothes,KgNone,この特殊素材で出来た衣服（hazmat clothes）は、放射能から身を守るだけでなく、喉の渇き、体温を保護します。,"Hazmat gear not only protects you from radiation, it can keep you dry and reasonably warm.","Der Schutzanzug schützt nicht nur vor Strahlung, sondern auch vor Wasser und hält relativ warm.",,"El equipamiento de material peligroso no solo te protege de la radiación, sino que también te mantiene seco y bastante abrigado."
hazmatGloves,items,Clothes,KgNone,Hazmat Gloves,Hazmat Gloves,Schutzanzughandschuhe,,Guantes de material peligroso
hazmatMask,items,Clothes,KgNone,Hazmat Mask,Hazmat Mask,Schutzanzugmaske,,Máscara de material peligroso
hazmatPants,items,Clothes,KgNone,Hazmat Pants,Hazmat Pants,Schutzanzughose,,Pantalones de material peligroso
ironBoots,items,Clothes,KgNone,Iron Boots,Iron Boots,Eisenstiefel,,Botas de hierro
ironChestArmor,items,Clothes,KgNone,Iron Chest Armor,Iron Chest Armor,Eisenbrustpanzer,,Coraza de hierro
ironClothesGroupDesc,items,Clothes,KgNone,鉄(iron)の防具は、非常に高い防御力を得ることが出来ますが、涼しすぎるため、体温管理に気をつけてください。,Iron clothing provides great protection against concussive and puncture damage but no cold weather protection.,"Eisenkleidung bietet großartigen Schutz vor Schlag- und Stichschaden, hält bei kaltem Wetter aber nicht warm.",,"La ropa de hierro brinda una gran protección frente a contusiones y perforaciones, pero nada de protección contra el frío."
ironGloves,items,Clothes,KgNone,Iron Gloves,Iron Gloves,Eisenhandschuhe,,Guantes de hierro
ironHelmet,items,Clothes,KgNone,Iron Helmet,Iron Helmet,Eisenhelm,,Casco de hierro
ironLegArmor,items,Clothes,KgNone,Iron Leg Armor,Iron Leg Armor,Eisenbeinschienen,,Espinillera de hierro
kevlarArmorGroupDesc,items,Clothes,KgNone,ｹﾌﾞﾗｰ繊維を織り込んだ防具は最高の防御力と快適な環境をもたらしてくれます。,Kevlar armor provides the best armor defense and moderate weather protection.,Die Kevlarrüstung bietet den besten Rüstungsschutz und einen moderaten Schutz vor der Witterung.,,La armadura de Kevlar proporciona la mejor defensa de armadura y protección moderada contra el clima.
kevlarBoots,items,Clothes,KgNone,Kevlar Boots,Kevlar Boots,Kevlarstiefel,,Botas de Kevlar
kevlarGloves,items,Clothes,KgNone,Kevlar Gloves,Kevlar Gloves,Kevlar-Handschuhe,,Guantes de Kevlar
kevlarHelmet,items,Clothes,KgNone,Kevlar Helmet,Kevlar Helmet,Kevlarhelm,,Casco de Kevlar
kevlarHelmetDesc,items,Clothes,KgNone,ｹﾌﾞﾗｰ繊維を織り込んだ防具は最高の防御力と快適な環境をもたらしてくれます。,The Kevlar helmet offers the very best damage protection in the wasteland.,Der Kevlarhelm bietet den bestmöglichen Schutz im Ödland.,,El casco de Kevlar ofrece la mejor protección contra daño en el páramo.
kevlarLegArmor,items,Clothes,KgNone,Kevlar Leg Armor,Kevlar Leg Armor,Kevlar-Beinschienen,,Greba de Kevlar
kevlarVest,items,Clothes,KgNone,Kevlar Vest,Kevlar Vest,Kevlar-Weste,,Chaleco de Kevlar
leatherBoots,items,Clothes,KgNone,Leather Boots,Leather Boots,Lederstiefel,,Botas de cuero
leatherClothesGroupDesc,items,Clothes,KgNone,なめし革（Leather）の衣服は、草や布の衣服に比べて高い防御力と耐天候ボーナスを得ます。,Leather clothing provides a great combination of insulation from the weather and protection from other damage types.,Lederkleidung kombiniert sehr guten Schutz vor den Witterungen und Schutz vor anderen Schadensarten.,,La ropa de cuero ofrece una gran combinación de aislamiento térmico y protección contra otros tipos de daños.
leatherGloves,items,Clothes,KgNone,Leather Gloves,Leather Gloves,Lederhandschuhe,,Guantes de cuero
leatherHood,items,Clothes,KgNone,Leather Hood,Leather Hood,Lederkapuze,,Capucha de cuero
leatherJacket,items,Clothes,KgNone,Leather Chest Armor,Leather Chest Armor,Lederbrustpanzer,,Coraza de cuero
leatherPants,items,Clothes,KgNone,Leather Leg Armor,Leather Leg Armor,Lederbeinschienen,,Espinillera de cuero
militaryArmorGroupDesc,items,Clothes,KgNone,軍需防具は、最高の防御力と柔軟な適応性を持つ防具です。\nただそれでもゾンビには勝てなかったことを忘れてはいけません。,Military armor provides the best armor defense and moderate weather protection.,Militärische Ausrüstung bietet den besten Rüstungsschutz und einen moderaten Schutz vor der Witterung.,,La armadura militar proporciona la mejor defensa de armadura y protección moderada contra el clima.
militaryBoots,items,Clothes,KgNone,Military Boots,Military Boots,Militärstiefel,,Botas militares
militaryGloves,items,Clothes,KgNone,Military Gloves,Military Gloves,Militärhandschuhe,,Guanteletes militares
militaryHelmet,items,Clothes,KgNone,Military Helmet,Military Helmet,Militärhelm,,Casco militar
militaryHelmetDesc,items,Clothes,KgNone,軍用ヘルメットは、ウェイストランドで最高の防御力があるヘルメットです。,The military helmet offers the very best damage protection in the wasteland.,Der Militärhelm bietet den bestmöglichen Schutz im Ödland.,,El casco militar ofrece la mejor protección contra daño en el páramo.
militaryLegArmor,items,Clothes,KgNone,Military Leg Armor,Military Leg Armor,Militärbeinschienen,,Greba militar
militaryVest,items,Clothes,KgNone,Military Vest,Military Vest,Militärweste,,Chaleco militar
miningHelmet,items,Clothes,KgNone,Mining Helmet,Mining Helmet,Bergbauhelm,,Casco de minero
miningHelmetDesc,items,Clothes,KgNone,炭鉱夫ヘルメットはそこそこの防御力で、暗闇を照らすライトが取り付けられています。\nFキーでライトのON/OFF\n [ Workbenchクラフト ],This helmet offers good concussive & puncture defense & the added bonus of a mobile light source. No more dark caves for you.\n [ Crafted in Workbench. ],Dieser Helm bietet guten Schutz vor Schlag- und Stichschaden und hat zudem eine mobile Lichtquelle. Jetzt bleibt keine Höhle mehr dunkel.,,"Este casco ofrece buena protección frente a contusiones y perforaciones, además de ser una fuente de luz móvil. ¡Ya no habrá más cuevas oscuras para ti!"
nightvisionGoggles,items,Clothes,KgNone,Night Vision Goggles,Night Vision Goggles,Nachtsichtbrille,,Gafas de visión nocturna
nightvisionGogglesDesc,items,Clothes,KgNone,ナイトビジョンゴーグル（night vision goggles）は、かつて夜戦で活躍する戦士のアイテムですが今は壊れているのか、お世辞にも良い暗視能力を提供してくれません。,These night vision goggles provide a little face protection but probably don't work any more.,"Diese Nachtsichtbrille schützt das Gesicht etwas, funktioniert aber wahrscheinlich nicht mehr.",,"Las gafas de visión nocturna ofrecen un poco de protección facial, pero probablemente no sirvan para nada más."
plaidShirt,items,Clothes,KgNone,Plaid Shirt,Plaid Shirt,Kariertes Hemd,,Camisa a cuadros
plaidShirtBlack,items,Clothes,KgNone,Black Plaid Shirt,Black Plaid Shirt,Schwarzes kariertes Hemd,,Camisa a cuadros negra
plaidShirtBlue,items,Clothes,KgNone,Blue Plaid Shirt,Blue Plaid Shirt,Blaues kariertes Hemd,,Camisa a cuadros azul
plaidShirtBrown,items,Clothes,KgNone,Brown Plaid Shirt,Brown Plaid Shirt,Braunes kariertes Hemd,,Camisa a cuadros marrón
plaidShirtClothesGroupDesc,items,Clothes,KgNone,良質の綿から作られた袖付きシャツ。少しの防御力と耐天候ボーナスを得ます。,Look like a lumberjack while getting a little protection against the weather and other damage types with this fine flannel shirt.,Kleide dich im Holzfällerstil ein und erhalte mit diesem Flanellhemd etwas Schutz gegen die Witterungen und andere Schadensarten.,,Siéntete como un leñador al tiempo que te proteges un poco del clima y otros tipos de daño con esta camisa de franela.
plaidShirtGreen,items,Clothes,KgNone,Green Plaid Shirt,Green Plaid Shirt,Grünes kariertes Hemd,,Camisa a cuadros verde
plaidShirtRed,items,Clothes,KgNone,Red Plaid Shirt,Red Plaid Shirt,Rotes kariertes Hemd,,Camisa a cuadros roja
plantFiberClothesGroupDesc,items,Clothes,KgNone,植物繊維製(plant fiber)の衣類は基本的な防御力を得られますが、もっと良い装備を揃えたほうが良いでしょう。,Plant fiber clothing provides basic protection against cold weather but is not ideal against other damage types.,"Kleidung aus Pflanzenfasern bietet grundlegenden Schutz gegen Kälte, schützt aber nicht besonders gut vor anderen Schadensarten.",,"La ropa de fibra vegetal ofrece protección básica contra el frío, pero no es aconsejable para daños de otro tipo."
plantFiberGloves,items,Clothes,KgNone,Plant Fiber Gloves,Plant Fiber Gloves,Pflanzenfaserhandschuhe,,Guantes de fibra vegetal
plantFiberHat,items,Clothes,KgNone,Plant Fiber Hat,Plant Fiber Hat,Pflanzenfaserhut,,Gorro de fibra vegetal
plantFiberHatDesc,items,Clothes,KgNone,この帽子は、植物繊維製で防御力は心もとないですが、フードと違い、炎天下で小さな影を作ってくれます。,This plant fiber hat will keep you cooler in extreme hot weather and provide basic protection against other damage types.,Dieser Pflanzenfaserhut schützt bei sehr warmen Wetter vor der Hitze. Wie alle Kleidungsstücke bietet er auch grundlegenden Schutz gegen andere Schadensarten.,,Este gorro de fibra vegetal te mantendrá fresco en climas extremadamente calurosos y te ofrece algo de protección contra otros tipos de daños.
plantFiberHood,items,Clothes,KgNone,Plant Fiber Hood,Plant Fiber Hood,Pflanzenfaserkapuze,,Capucha de fibra vegetal
plantFiberPants,items,Clothes,KgNone,Plant Fiber Pants,Plant Fiber Pants,Pflanzenfaserhose,,Pantalones de fibra vegetal
plantFiberShirt,items,Clothes,KgNone,Plant Fiber Shirt,Plant Fiber Shirt,Pflanzenfaserhemd,,Camisa de fibra vegetal
plantFiberShoes,items,Clothes,KgNone,Plant Fiber Shoes,Plant Fiber Shoes,Pflanzenfaserschuhe,,Zapatos de fibra vegetal
pufferCoat,items,Clothes,KgNone,Puffer Coat,Puffer Coat,Puffermantel,,Abrigo acolchado
pufferCoatBlack,items,Clothes,KgNone,Black Puffer Coat,Black Puffer Coat,Schwarzer Puffermantel,,Abrigo acolchado negro
pufferCoatBrown,items,Clothes,KgNone,Brown Puffer Coat,Brown Puffer Coat,Brauner Puffermantel,,Abrigo acolchado marrón
pufferCoatGreen,items,Clothes,KgNone,Green Puffer Coat,Green Puffer Coat,Grüner Puffermantel,,Abrigo acolchado verde
pufferCoatGroupDesc,items,Clothes,KgNone,雪山に必須の暖かく、快適なコート(puffer Coat)です。ただし、砂漠でなくても、平地では体温が上がり過ぎるかもしれないので注意。,Keep toasty warm even in the coldest environments with this hand quilted Puffer Coat.,Mit diesem per Hand wattierten Puffermantel bleibst du selbst in den kältesten Gegenden gemütlich warm.,,Mantente abrigado incluso en los entornos más gélidos con este abrigo acolchado hecho a mano.
pufferCoatRed,items,Clothes,KgNone,Red Puffer Coat,Red Puffer Coat,Roter Puffermantel,,Abrigo acolchado rojo
redDenimPants,items,Clothes,KgNone,Red Denim Pants,Red Denim Pants,Rote Denim-Hose,,Pantalones de mezclilla rojos
scrapBoots,items,Clothes,KgNone,Scrap Boots,Scrap Boots,Alteisenstiefel,,Botas hechas de chatarra
scrapChestArmor,items,Clothes,KgNone,Scrap Chest Armor,Scrap Chest Armor,Alteisenbrustpanzer,,Coraza de chatarra
scrapGloves,items,Clothes,KgNone,Scrap Gloves,Scrap Gloves,Alteisenhandschuhe,,Guantes de chatarra
scrapHelmet,items,Clothes,KgNone,Scrap Helmet,Scrap Helmet,Alteisenhelm,,Casco de chatarra
scrapIronClothesGroupDesc,items,Clothes,KgNone,マクダイバーのクラフト技術を学べばくず鉄（scrap Iron）も高い防御力をもった防具になります。,Scrap iron clothing provides good protection against concussive and puncture damage but will not keep you warm.,"Alteisenkleidung bietet guten Schutz vor Schlag- und Stichschaden, hält aber nicht warm.",,"La ropa de chatarra de hierro ofrece buena protección frente a contusiones y perforaciones, pero no te mantendrá abrigado."
scrapLegArmor,items,Clothes,KgNone,Scrap Leg Armor,Scrap Leg Armor,Alteisenbeinschienen,,Espinillera de chatarra
shades,items,Clothes,KgNone,Shades,Shades,Sonnenbrille,,Gafas de sol
shirt,items,Clothes,KgNone,Shirt,Shirt,Hemd,,Camisa
shirtBlack,items,Clothes,KgNone,Black Shirt,Black Shirt,Schwarzes Hemd,,Camisa negra
shirtBlue,items,Clothes,KgNone,Blue Shirt,Blue Shirt,Blaues Hemd,,Camisa azul
shirtBrown,items,Clothes,KgNone,Brown Shirt,Brown Shirt,Braunes Hemd,,Camisa marrón
shirtClothesGroupDesc,items,Clothes,KgNone,良質の綿から作られたシャツ。少しの防御力と耐天候ボーナスを得ます。,Get a little protection against the weather and other damage types with this fine cotton shirt.,Erhalte mit diesem Baumwollhemd etwas Schutz gegen die Witterungen und andere Schadensarten.,,Obtén un poco de protección contra el clima y otros tipos de daño con esta camisa de algodón.
shirtGreen,items,Clothes,KgNone,Green Shirt,Green Shirt,Grünes Hemd,,Camisa verde
shirtRed,items,Clothes,KgNone,Red Shirt,Red Shirt,Rotes Hemd,,Camisa roja
